PaperTitle,ID,SearchString,SearchedFrom
Assessing User Perceptions of Bias in Generative AI Models: Promoting Social Awareness for Trustworthy AI.,DOI:10.1145/3633083.3633094,"""Generative AI""$ ""trustworthy""$ ""social""$ ",DBLP
Argumentation schemes: From genetics to international relations to environmental science policy to AI ethics.,DOI:10.3233/AAC-210551,"""Gen AI""$ ""environmental""$ ""ethics""$ ",DBLP
Ethics and Gender for Responsible Research and Innovation in AI (extended abstract).,url:https://dblp.org/rec/conf/aiia/Lisi22,"""Gen AI""$ ""responsible""$ ""ethics""$ ",DBLP
Ethical Considerations and Policy Implications for Large Language Models: Guiding Responsible Development and Deployment.,DOI:10.48550/ARXIV.2308.02678,"""large language model""$ ""responsible""$ ""ethical""$ ",DBLP
"The OpenESEA Modeling Language and Tool for Ethical, Social, and Environmental Accounting.",DOI:10.7250/CSIMQ.2023-34.01,"""language model""$ ""environmental""$ ""social""$ ",DBLP
"Managing the Complexity in Ethical, Social and Environmental Accounting: Engineering and Evaluating a Modelling Language.",url:https://dblp.org/rec/conf/bir/RamautarE22,"""language model""$ ""environmental""$ ""social""$ ",DBLP
"ESGBERT: Language Model to Help with Classification Tasks Related to Companies Environmental, Social, and Governance Practices.",DOI:10.48550/ARXIV.2203.16788,"""language model""$ ""environmental""$ ""social""$ ",DBLP
"The openESEA Modelling Language for Ethical, Social and Environmental Accounting: Technical Report.",DOI:10.48550/ARXIV.2205.15279,"""language model""$ ""environmental""$ ""social""$ ",DBLP
"Detecting Environmental, Social and Governance (ESG) Topics Using Domain-Specific Language Models and Data Augmentation.",DOI:10.1007/978-3-030-86967-0_12,"""language model""$ ""environmental""$ ""social""$ ",DBLP
"Towards Reliable Misinformation Mitigation: Generalization, Uncertainty, and GPT-4.",url:https://dblp.org/rec/conf/emnlp/PelrineITRGCGR23,"""GPT""$ ""misinformation""$ ""mitigation""$ ",DBLP
Adversarial interference and its mitigations in privacy-preserving collaborative machine learning.,DOI:10.1038/S42256-021-00390-3,"""PaLM""$ ""privacy""$ ""mitigation""$ ",DBLP
